code,industry_id,Description
92,82,Government (new field)
3,83,  Federal civilian (new field)
4,84,  Federal military (new field)
5,85,  State and local (new field)
12,86,Natural resources and mining
43,87,Trade (new field) 
482,88,Transportation and utilities (new field)
6,89,Private goods-producing industries (new field)
7,90,Private services-providing industries (new field)
221,null,Utilities
236,null,Construction of buildings
237,null,Heavy and civil engineering construction
238,null,Specialty trade contractors
312,null,Beverage and tobacco product manufacturing
314,null,Textile product mills
316,null,Leather and allied product manufacturing
336,null,Transportation equipment manufacturing
423,null,"Merchant wholesalers, durable goods"
424,null,"Merchant wholesalers, nondurable goods"
425,null,Wholesale electronic markets and agents and brokers
441,null,Motor vehicle and parts dealers
442,null,Furniture and home furnishings stores
443,null,Electronics and appliance stores
444,null,Building material and garden equipment and supplies dealers
445,null,Food and beverage stores
446,null,Health and personal care stores
447,null,Gasoline stations
448,null,Clothing and clothing accessories stores
451,null,"Sporting goods, hobby, musical instrument, and book stores"
452,null,General merchandise stores
453,null,Miscellaneous store retailers
454,null,Nonstore retailers
488,null,Support activities for transportation
492,null,Couriers and messengers
517,null,Telecommunications
519,null,Other information services
522,null,Credit intermediation and related activities
533,null,Lessors of nonfinancial intangible assets (except copyrighted works)
541,null,"Professional, scientific, and technical services"
551,null,Management of companies and enterprises
611,null,Educational services
623,null,Nursing and residential care facilities
712,null,"Museums, historical sites, and similar institutions"
811,null,Repair and maintenance
812,null,Personal and laundry services
813,null,"Religious, grantmaking, civic, professional, and similar organizations"
2111,null,Oil and gas extraction
2121,null,Coal mining
2122,null,Metal ore mining
2123,null,Nonmetallic mineral mining and quarrying
2131,null,Support activities for mining
2211,null,"Electric power generation, transmission and distribution"
2212,null,Natural gas distribution
2213,null,"Water, sewage and other systems"
3111,null,Animal food manufacturing
3112,null,Grain and oilseed milling
3113,null,Sugar and confectionery product manufacturing
3114,null,Fruit and vegetable preserving and specialty food manufacturing
3115,null,Dairy product manufacturing
3116,null,Animal slaughtering and processing
3117,null,Seafood product preparation and packaging
3118,null,Bakeries and tortilla manufacturing
3119,null,Other food manufacturing
3121,null,Beverage manufacturing
3122,null,Tobacco manufacturing
3131,null,"Fiber, yarn, and thread mills"
3132,null,Fabric mills
3133,null,Textile and fabric finishing and fabric coating mills
3141,null,Textile furnishings mills
3149,null,Other textile product mills
3151,null,Apparel knitting mills
3152,null,Cut and sew apparel manufacturing
3159,null,Apparel accessories and other apparel manufacturing
3161,null,Leather and hide tanning and finishing
3162,null,Footwear manufacturing
3169,null,Other leather and allied product manufacturing
3211,null,Sawmills and wood preservation
3212,null,"Veneer, plywood, and engineered wood product manufacturing"
3219,null,Other wood product manufacturing
3221,null,"Pulp, paper, and paperboard mills"
3222,null,Converted paper product manufacturing
3231,null,Printing and related support activities
3241,null,Petroleum and coal products manufacturing
3251,null,Basic chemical manufacturing
3252,null,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing"
3253,null,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
3254,null,Pharmaceutical and medicine manufacturing
3255,null,"Paint, coating, and adhesive manufacturing"
3256,null,"Soap, cleaning compound, and toilet preparation manufacturing"
3259,null,Other chemical product and preparation manufacturing
3261,null,Plastics product manufacturing
3262,null,Rubber product manufacturing
3271,null,Clay product and refractory manufacturing
3272,null,Glass and glass product manufacturing
3273,null,Cement and concrete product manufacturing
3274,null,Lime and gypsum product manufacturing
3279,null,Other nonmetallic mineral product manufacturing
3311,null,Iron and steel mills and ferroalloy manufacturing
3312,null,Steel product manufacturing from purchased steel
3313,null,Alumina and aluminum production and processing
3314,null,Nonferrous metal (except aluminum) production and processing
3315,null,Foundries
3321,null,Forging and stamping
3322,null,Cutlery and handtool manufacturing
3323,null,Architectural and structural metals manufacturing
3324,null,"Boiler, tank, and shipping container manufacturing"
3325,null,Hardware manufacturing
3326,null,Spring and wire product manufacturing
3327,null,"Machine shops; turned product; and screw, nut, and bolt manufacturing"
3328,null,"Coating, engraving, heat treating, and allied activities"
3329,null,Other fabricated metal product manufacturing
3331,null,"Agriculture, construction, and mining machinery manufacturing"
3332,null,Industrial machinery manufacturing
3333,null,Commercial and service industry machinery manufacturing
3334,null,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
3335,null,Metalworking machinery manufacturing
3336,null,"Engine, turbine, and power transmission equipment manufacturing"
3339,null,Other general purpose machinery manufacturing
3341,null,Computer and peripheral equipment manufacturing
3342,null,Communications equipment manufacturing
3343,null,Audio and video equipment manufacturing
3344,null,Semiconductor and other electronic component manufacturing
3345,null,"Navigational, measuring, electromedical, and control instruments manufacturing"
3346,null,Manufacturing and reproducing magnetic and optical media
3351,null,Electric lighting equipment manufacturing
3352,null,Household appliance manufacturing
3353,null,Electrical equipment manufacturing
3359,null,Other electrical equipment and component manufacturing
3362,null,Motor vehicle body and trailer manufacturing
3363,null,Motor vehicle parts manufacturing
3365,null,Railroad rolling stock manufacturing
3366,null,Ship and boat building
3369,null,Other transportation equipment manufacturing
3371,null,Household and institutional furniture and kitchen cabinet manufacturing
3372,null,Office furniture (including fixtures) manufacturing
3379,null,Other furniture related product manufacturing
3391,null,Medical equipment and supplies manufacturing
3399,null,Other miscellaneous manufacturing
4231,null,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
4232,null,Furniture and home furnishing merchant wholesalers
4233,null,Lumber and other construction materials merchant wholesalers
4234,null,Professional and commercial equipment and supplies merchant wholesalers
4235,null,Metal and mineral (except petroleum) merchant wholesalers
4236,null,Electrical and electronic goods merchant wholesalers
4237,null,"Hardware, plumbing and heating equipment and supplies merchant wholesalers"
4238,null,"Machinery, equipment, and supplies merchant wholesalers"
4239,null,Miscellaneous durable goods merchant wholesalers
4241,null,Paper and paper product merchant wholesalers
4242,null,Drugs and druggists' sundries merchant wholesalers
4243,null,"Apparel, piece goods, and notions merchant wholesalers"
4244,null,Grocery and related product merchant wholesalers
4245,null,Farm product raw material merchant wholesalers
4246,null,Chemical and allied products merchant wholesalers
4247,null,Petroleum and petroleum products merchant wholesalers
4248,null,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
4249,null,Miscellaneous nondurable goods merchant wholesalers
4251,null,Wholesale electronic markets and agents and brokers
4411,null,Automobile dealers
4412,null,Other motor vehicle dealers
4413,null,"Automotive parts, accessories, and tire stores"
4421,null,Furniture stores
4422,null,Home furnishings stores
4431,null,Electronics and appliance stores
4441,null,Building material and supplies dealers
4442,null,Lawn and garden equipment and supplies stores
4451,null,Grocery stores
4452,null,Specialty food stores
4453,null,"Beer, wine, and liquor stores"
4461,null,Health and personal care stores
4471,null,Gasoline stations
4481,null,Clothing stores
4482,null,Shoe stores
4483,null,"Jewelry, luggage, and leather goods stores"
4511,null,"Sporting goods, hobby, and musical instrument stores"
4512,null,Book stores and news dealers
4521,null,Department stores
4529,null,Other general merchandise stores
4531,null,Florists
4532,null,"Office supplies, stationery, and gift stores"
4533,null,Used merchandise stores
4539,null,Other miscellaneous store retailers
4541,null,Electronic shopping and mail-order houses
4542,null,Vending machine operators
4543,null,Direct selling establishments
4811,null,Scheduled air transportation
4812,null,Nonscheduled air transportation
4831,null,"Deep sea, coastal, and great lakes water transportation"
4832,null,Inland water transportation
4841,null,General freight trucking
4842,null,Specialized freight trucking
4851,null,Urban transit systems
4852,null,Interurban and rural bus transportation
4853,null,Taxi and limousine service
4854,null,School and employee bus transportation
4855,null,Charter bus industry
4859,null,Other transit and ground passenger transportation
4861,null,Pipeline transportation of crude oil
4862,null,Pipeline transportation of natural gas
4869,null,Other pipeline transportation
4871,null,"Scenic and sightseeing transportation, land"
4872,null,"Scenic and sightseeing transportation, water"
4879,null,"Scenic and sightseeing transportation, other"
4881,null,Support activities for air transportation
4882,null,Support activities for rail transportation
4883,null,Support activities for water transportation
4884,null,Support activities for road transportation
4885,null,Freight transportation arrangement
4889,null,Other support activities for transportation
4921,null,Couriers and express delivery services
4922,null,Local messengers and local delivery
4931,null,Warehousing and storage
5111,null,"Newspaper, periodical, book, and directory publishers"
5112,null,Software publishers
5121,null,Motion picture and video industries
5122,null,Sound recording industries
5151,null,Radio and television broadcasting
5152,null,Cable and other subscription programming
5171,null,Wired telecommunications carriers
5172,null,Wireless telecommunications carriers (except satellite)
5174,null,Satellite telecommunications
5179,null,Other telecommunications
5182,null,"Data processing, hosting, and related services"
5191,null,Other information services
5211,null,Monetary authorities - central bank
5221,null,Depository credit intermediation
5222,null,Nondepository credit intermediation
5223,null,Activities related to credit intermediation
5231,null,Securities and commodity contracts intermediation and brokerage
5232,null,Securities and commodity exchanges
5239,null,Other financial investment activities
5241,null,Insurance carriers
5242,null,"Agencies, brokerages, and other insurance related activities"
5311,null,Lessors of real estate
5312,null,Offices of real estate agents and brokers
5313,null,Activities related to real estate
5321,null,Automotive equipment rental and leasing
5322,null,Consumer goods rental
5323,null,General rental centers
5324,null,Commercial and industrial machinery and equipment rental and leasing
5331,null,Lessors of nonfinancial intangible assets (except copyrighted works)
5413,null,"Architectural, engineering, and related services"
5414,null,Specialized design services
5416,null,"Management, scientific, and technical consulting services"
5417,null,Scientific research and development services
5418,null,"Advertising, public relations, and related services"
5419,null,"Other professional, scientific, and technical services"
5511,null,Management of companies and enterprises
5611,null,Office administrative services
5612,null,Facilities support services
5613,null,Employment services
5614,null,Business support services
5615,null,Travel arrangement and reservation services
5616,null,Investigation and security services
5617,null,Services to buildings and dwellings
5619,null,Other support services
5621,null,Waste collection
5622,null,Waste treatment and disposal
5629,null,Remediation and other waste management services
6114,null,Business schools and computer and management training
6115,null,Technical and trade schools
6116,null,Other schools and instruction
6117,null,Educational support services
6211,null,Offices of physicians
6212,null,Offices of dentists
6213,null,Offices of other health practitioners
6214,null,Outpatient care centers
6215,null,Medical and diagnostic laboratories
6216,null,Home health care services
6219,null,Other ambulatory health care services
6221,null,General medical and surgical hospitals
6222,null,Psychiatric and substance abuse hospitals
6223,null,Specialty (except psychiatric and substance abuse) hospitals
6231,null,Nursing care facilities
6232,null,"Residential mental retardation, mental health and substance abuse facilities"
6233,null,Community care facilities for the elderly
6239,null,Other residential care facilities
6241,null,Individual and family services
6242,null,"Community food and housing, and emergency and other relief services"
6243,null,Vocational rehabilitation services
6244,null,Child day care services
7111,null,Performing arts companies
7112,null,Spectator sports
7113,null,"Promoters of performing arts, sports, and similar events"
7114,null,"Agents and managers for artists, athletes, entertainers, and other public figures"
7115,null,"Independent artists, writers, and performers"
7121,null,"Museums, historical sites, and similar institutions"
7131,null,Amusement parks and arcades
7132,null,Gambling industries
7139,null,Other amusement and recreation industries
7211,null,Traveler accommodation
7212,null,RV (recreational vehicle) parks and recreational camps
7213,null,Rooming and boarding houses
7221,null,Full-service restaurants
7222,null,Limited-service eating places
7223,null,Special food services
7224,null,Drinking places (alcoholic beverages)
8111,null,Automotive repair and maintenance
8112,null,Electronic and precision equipment repair and maintenance
8113,null,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
8114,null,Personal and household goods repair and maintenance
8121,null,Personal care services
8122,null,Death care services
8123,null,Drycleaning and laundry services
8129,null,Other personal services
8132,null,Grantmaking and giving services
8133,null,Social advocacy organizations
8134,null,Civic and social organizations
8139,null,"Business, professional, labor, political, and similar organizations"
21111,null,Oil and gas extraction
21211,null,Coal mining
21221,null,Iron ore mining
21222,null,Gold ore and silver ore mining
21223,null,"Copper, nickel, lead, and zinc mining"
21229,null,Other metal ore mining
21231,null,Stone mining and quarrying
21232,null,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
21239,null,Other nonmetallic mineral mining and quarrying
21311,null,Support activities for mining
22111,null,Electric power generation
22112,null,"Electric power transmission, control, and distribution"
22121,null,Natural gas distribution
22131,null,Water supply and irrigation systems
22132,null,Sewage treatment facilities
22133,null,Steam and air-conditioning supply
31111,null,Animal food manufacturing
31121,null,Flour milling and malt manufacturing
31122,null,Starch and vegetable fats and oils manufacturing
31123,null,Breakfast cereal manufacturing
31131,null,Sugar manufacturing
31132,null,Chocolate and confectionery manufacturing from cacao beans
31133,null,Confectionery manufacturing from purchased chocolate
31134,null,Nonchocolate confectionery manufacturing
31141,null,Frozen food manufacturing
31142,null,"Fruit and vegetable canning, pickling, and drying"
31151,null,Dairy product (except frozen) manufacturing
31152,null,Ice cream and frozen dessert manufacturing
31161,null,Animal slaughtering and processing
31171,null,Seafood product preparation and packaging
31181,null,Bread and bakery product manufacturing
31182,null,"Cookie, cracker, and pasta manufacturing"
31183,null,Tortilla manufacturing
31191,null,Snack food manufacturing
31192,null,Coffee and tea manufacturing
31193,null,Flavoring syrup and concentrate manufacturing
31194,null,Seasoning and dressing manufacturing
31199,null,All other food manufacturing
31211,null,Soft drink and ice manufacturing
31212,null,Breweries
31213,null,Wineries
31214,null,Distilleries
31221,null,Tobacco stemming and redrying
31222,null,Tobacco product manufacturing
31311,null,"Fiber, yarn, and thread mills"
31321,null,Broadwoven fabric mills
31322,null,Narrow fabric mills and schiffli machine embroidery
31323,null,Nonwoven fabric mills
31324,null,Knit fabric mills
31331,null,Textile and fabric finishing mills
31332,null,Fabric coating mills
31411,null,Carpet and rug mills
31412,null,Curtain and linen mills
31491,null,Textile bag and canvas mills
31499,null,All other textile product mills
31511,null,Hosiery and sock mills
31519,null,Other apparel knitting mills
31521,null,Cut and sew apparel contractors
31522,null,Men's and boys' cut and sew apparel manufacturing
31523,null,Women's and girls' cut and sew apparel manufacturing
31529,null,Other cut and sew apparel manufacturing
31599,null,Apparel accessories and other apparel manufacturing
31611,null,Leather and hide tanning and finishing
31621,null,Footwear manufacturing
31699,null,Other leather and allied product manufacturing
32111,null,Sawmills and wood preservation
32121,null,"Veneer, plywood, and engineered wood product manufacturing"
32191,null,Millwork
32192,null,Wood container and pallet manufacturing
32199,null,All other wood product manufacturing
32211,null,Pulp mills
32212,null,Paper mills
32213,null,Paperboard mills
32221,null,Paperboard container manufacturing
32222,null,Paper bag and coated and treated paper manufacturing
32223,null,Stationery product manufacturing
32229,null,Other converted paper product manufacturing
32311,null,Printing
32312,null,Support activities for printing
32411,null,Petroleum refineries
32412,null,"Asphalt paving, roofing, and saturated materials manufacturing"
32419,null,Other petroleum and coal products manufacturing
32511,null,Petrochemical manufacturing
32512,null,Industrial gas manufacturing
32513,null,Synthetic dye and pigment manufacturing
32518,null,Other basic inorganic chemical manufacturing
32519,null,Other basic organic chemical manufacturing
32521,null,Resin and synthetic rubber manufacturing
32522,null,Artificial and synthetic fibers and filaments manufacturing
32531,null,Fertilizer manufacturing
32532,null,Pesticide and other agricultural chemical manufacturing
32541,null,Pharmaceutical and medicine manufacturing
32551,null,Paint and coating manufacturing
32552,null,Adhesive manufacturing
32561,null,Soap and cleaning compound manufacturing
32562,null,Toilet preparation manufacturing
32591,null,Printing ink manufacturing
32592,null,Explosives manufacturing
32599,null,All other chemical product and preparation manufacturing
32611,null,Plastics packaging materials and unlaminated film and sheet manufacturing
32612,null,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
32613,null,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
32614,null,Polystyrene foam product manufacturing
32615,null,Urethane and other foam product (except polystyrene) manufacturing
32616,null,Plastics bottle manufacturing
32619,null,Other plastics product manufacturing
32621,null,Tire manufacturing
32622,null,Rubber and plastics hoses and belting manufacturing
32629,null,Other rubber product manufacturing
32711,null,"Pottery, ceramics, and plumbing fixture manufacturing"
32712,null,Clay building material and refractories manufacturing
32721,null,Glass and glass product manufacturing
32731,null,Cement manufacturing
32732,null,Ready-mix concrete manufacturing
32733,null,"Concrete pipe, brick, and block manufacturing"
32739,null,Other concrete product manufacturing
32741,null,Lime manufacturing
32742,null,Gypsum product manufacturing
32791,null,Abrasive product manufacturing
32799,null,All other nonmetallic mineral product manufacturing
33111,null,Iron and steel mills and ferroalloy manufacturing
33121,null,Iron and steel pipe and tube manufacturing from purchased steel
33122,null,Rolling and drawing of purchased steel
33131,null,Alumina and aluminum production and processing
33141,null,Nonferrous metal (except aluminum) smelting and refining
33142,null,"Copper rolling, drawing, extruding, and alloying"
33149,null,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying"
33151,null,Ferrous metal foundries
33152,null,Nonferrous metal foundries
33211,null,Forging and stamping
33221,null,Cutlery and handtool manufacturing
33231,null,Plate work and fabricated structural product manufacturing
33232,null,Ornamental and architectural metal products manufacturing
33241,null,Power boiler and heat exchanger manufacturing
33242,null,Metal tank (heavy gauge) manufacturing
33243,null,"Metal can, box, and other metal container (light gauge) manufacturing"
33251,null,Hardware manufacturing
33261,null,Spring and wire product manufacturing
33271,null,Machine shops
33272,null,"Turned product and screw, nut, and bolt manufacturing"
33281,null,"Coating, engraving, heat treating, and allied activities"
33291,null,Metal valve manufacturing
33299,null,All other fabricated metal product manufacturing
33311,null,Agricultural implement manufacturing
33312,null,Construction machinery manufacturing
33313,null,Mining and oil and gas field machinery manufacturing
33321,null,Sawmill and woodworking machinery manufacturing
33322,null,Plastics and rubber industry machinery manufacturing
33329,null,Other industrial machinery manufacturing
33331,null,Commercial and service industry machinery manufacturing
33341,null,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
33351,null,Metalworking machinery manufacturing
33361,null,"Engine, turbine, and power transmission equipment manufacturing"
33391,null,Pump and compressor manufacturing
33392,null,Material handling equipment manufacturing
33399,null,All other general purpose machinery manufacturing
33411,null,Computer and peripheral equipment manufacturing
33421,null,Telephone apparatus manufacturing
33422,null,Radio and television broadcasting and wireless communications equipment manufacturing
33429,null,Other communications equipment manufacturing
33431,null,Audio and video equipment manufacturing
33441,null,Semiconductor and other electronic component manufacturing
33451,null,"Navigational, measuring, electromedical, and control instruments manufacturing"
33461,null,Manufacturing and reproducing magnetic and optical media
33511,null,Electric lamp bulb and part manufacturing
33512,null,Lighting fixture manufacturing
33521,null,Small electrical appliance manufacturing
33522,null,Major appliance manufacturing
33531,null,Electrical equipment manufacturing
33591,null,Battery manufacturing
33592,null,Communication and energy wire and cable manufacturing
33593,null,Wiring device manufacturing
33599,null,All other electrical equipment and component manufacturing
33611,null,Automobile and light duty motor vehicle manufacturing
33612,null,Heavy duty truck manufacturing
33621,null,Motor vehicle body and trailer manufacturing
33631,null,Motor vehicle gasoline engine and engine parts manufacturing
33632,null,Motor vehicle electrical and electronic equipment manufacturing
33633,null,Motor vehicle steering and suspension components (except spring) manufacturing
33634,null,Motor vehicle brake system manufacturing
33635,null,Motor vehicle transmission and power train parts manufacturing
33636,null,Motor vehicle seating and interior trim manufacturing
33637,null,Motor vehicle metal stamping
33639,null,Other motor vehicle parts manufacturing
33641,null,Aerospace product and parts manufacturing
33651,null,Railroad rolling stock manufacturing
33661,null,Ship and boat building
33699,null,Other transportation equipment manufacturing
33711,null,Wood kitchen cabinet and countertop manufacturing
33712,null,Household and institutional furniture manufacturing
33721,null,Office furniture (including fixtures) manufacturing
33791,null,Mattress manufacturing
33792,null,Blind and shade manufacturing
33911,null,Medical equipment and supplies manufacturing
33991,null,Jewelry and silverware manufacturing
33992,null,Sporting and athletic goods manufacturing
33993,null,"Doll, toy, and game manufacturing"
33994,null,Office supplies (except paper) manufacturing
33995,null,Sign manufacturing
33999,null,All other miscellaneous manufacturing
42311,null,Automobile and other motor vehicle merchant wholesalers
42312,null,Motor vehicle supplies and new parts merchant wholesalers
42313,null,Tire and tube merchant wholesalers
42314,null,Motor vehicle parts (used) merchant wholesalers
42321,null,Furniture merchant wholesalers
42322,null,Home furnishing merchant wholesalers
42331,null,"Lumber, plywood, millwork, and wood panel merchant wholesalers"
42332,null,"Brick, stone, and related construction material merchant wholesalers"
42333,null,"Roofing, siding, and insulation material merchant wholesalers"
42339,null,Other construction material merchant wholesalers
42341,null,Photographic equipment and supplies merchant wholesalers
42342,null,Office equipment merchant wholesalers
42343,null,Computer and computer peripheral equipment and software merchant wholesalers
42344,null,Other commercial equipment merchant wholesalers
42345,null,"Medical, dental, and hospital equipment and supplies merchant wholesalers"
42346,null,Ophthalmic goods merchant wholesalers
42349,null,Other professional equipment and supplies merchant wholesalers
42351,null,Metal service centers and other metal merchant wholesalers
42352,null,Coal and other mineral and ore merchant wholesalers
42361,null,"Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers"
42362,null,"Electrical and electronic appliance, television, and radio set merchant wholesalers"
42369,null,Other electronic parts and equipment merchant wholesalers
42371,null,Hardware merchant wholesalers
42372,null,Plumbing and heating equipment and supplies (hydronics) merchant wholesalers
42373,null,Warm air heating and air-conditioning equipment and supplies merchant wholesalers
42374,null,Refrigeration equipment and supplies merchant wholesalers
42381,null,Construction and mining (except oil well) machinery and equipment merchant wholesalers
42382,null,Farm and garden machinery and equipment merchant wholesalers
42383,null,Industrial machinery and equipment merchant wholesalers
42384,null,Industrial supplies merchant wholesalers
42385,null,Service establishment equipment and supplies merchant wholesalers
42386,null,Transportation equipment and supplies (except motor vehicle) merchant wholesalers
42391,null,Sporting and recreational goods and supplies merchant wholesalers
42392,null,Toy and hobby goods and supplies merchant wholesalers
42393,null,Recyclable material merchant wholesalers
42394,null,"Jewelry, watch, precious stone, and precious metal merchant wholesalers"
42399,null,Other miscellaneous durable goods merchant wholesalers
42411,null,Printing and writing paper merchant wholesalers
42412,null,Stationery and office supplies merchant wholesalers
42413,null,Industrial and personal service paper merchant wholesalers
42421,null,Drugs and druggists' sundries merchant wholesalers
42431,null,"Piece goods, notions, and other dry goods merchant wholesalers"
42432,null,Men's and boys' clothing and furnishings merchant wholesalers
42433,null,"Women's, children's, and infants' clothing and accessories merchant wholesalers"
42434,null,Footwear merchant wholesalers
42441,null,General line grocery merchant wholesalers
42442,null,Packaged frozen food merchant wholesalers
42443,null,Dairy product (except dried or canned) merchant wholesalers
42444,null,Poultry and poultry product merchant wholesalers
42445,null,Confectionery merchant wholesalers
42446,null,Fish and seafood merchant wholesalers
42447,null,Meat and meat product merchant wholesalers
42448,null,Fresh fruit and vegetable merchant wholesalers
42449,null,Other grocery and related products merchant wholesalers
42451,null,Grain and field bean merchant wholesalers
42452,null,Livestock merchant wholesalers
42459,null,Other farm product raw material merchant wholesalers
42461,null,Plastics materials and basic forms and shapes merchant wholesalers
42469,null,Other chemical and allied products merchant wholesalers
42471,null,Petroleum bulk stations and terminals 
42472,null,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals) 
42481,null,Beer and ale merchant wholesalers
42482,null,Wine and distilled alcoholic beverage merchant wholesalers
42491,null,Farm supplies merchant wholesalers
42492,null,"Book, periodical, and newspaper merchant wholesalers"
42493,null,"Flower, nursery stock, and florists' supplies merchant wholesalers"
42494,null,Tobacco and tobacco product merchant wholesalers
42495,null,"Paint, varnish, and supplies merchant wholesalers"
42499,null,Other miscellaneous nondurable goods merchant wholesalers
42511,null,Business to business electronic markets
42512,null,Wholesale trade agents and brokers
44111,null,New car dealers
44112,null,Used car dealers
44121,null,Recreational vehicle dealers
44122,null,"Motorcycle, boat, and other motor vehicle dealers"
44131,null,Automotive parts and accessories stores
44132,null,Tire dealers
44211,null,Furniture stores
44221,null,Floor covering stores
44229,null,Other home furnishings stores
44311,null,"Appliance, television, and other electronics stores"
44312,null,Computer and software stores
44313,null,Camera and photographic supplies stores
44411,null,Home centers
44412,null,Paint and wallpaper stores
44413,null,Hardware stores
44419,null,Other building material dealers
44421,null,Outdoor power equipment stores
44422,null,"Nursery, garden center, and farm supply stores"
44511,null,Supermarkets and other grocery (except convenience) stores
44512,null,Convenience stores
44521,null,Meat markets
44522,null,Fish and seafood markets
44523,null,Fruit and vegetable markets
44529,null,Other specialty food stores
44531,null,"Beer, wine, and liquor stores"
44611,null,Pharmacies and drug stores
44612,null,"Cosmetics, beauty supplies, and perfume stores"
44613,null,Optical goods stores
44619,null,Other health and personal care stores
44711,null,Gasoline stations with convenience stores
44719,null,Other gasoline stations
44811,null,Men's clothing stores
44812,null,Women's clothing stores
44813,null,Children's and infants' clothing stores
44814,null,Family clothing stores
44815,null,Clothing accessories stores
44819,null,Other clothing stores
44821,null,Shoe stores
44831,null,Jewelry stores
44832,null,Luggage and leather goods stores
45111,null,Sporting goods stores
45112,null,"Hobby, toy, and game stores"
45113,null,"Sewing, needlework, and piece goods stores"
45114,null,Musical instrument and supplies stores
45121,null,Book stores and news dealers
45122,null,"Prerecorded tape, compact disc, and record stores"
45211,null,Department stores
45291,null,Warehouse clubs and supercenters
45299,null,All other general merchandise stores
45311,null,Florists
45321,null,Office supplies and stationery stores
45322,null,"Gift, novelty, and souvenir stores"
45331,null,Used merchandise stores
45391,null,Pet and pet supplies stores
45392,null,Art dealers
45393,null,Manufactured (mobile) home dealers
45399,null,All other miscellaneous store retailers
45411,null,Electronic shopping and mail-order houses
45421,null,Vending machine operators
45431,null,Fuel dealers
45439,null,Other direct selling establishments
48111,null,Scheduled air transportation
48121,null,Nonscheduled air transportation
48311,null,"Deep sea, coastal, and great lakes water transportation"
48321,null,Inland water transportation
48411,null,"General freight trucking, local"
48412,null,"General freight trucking, long-distance"
48421,null,Used household and office goods moving
48422,null,"Specialized freight (except used goods) trucking, local"
48423,null,"Specialized freight (except used goods) trucking, long-distance"
48511,null,Urban transit systems
48521,null,Interurban and rural bus transportation
48531,null,Taxi service
48532,null,Limousine service
48541,null,School and employee bus transportation
48551,null,Charter bus industry
